feature,standardized,relative
%MISSPELLED,0.16455735384239586,0.16564639765386954
AVG_WLEN,0.18807177435021977,0.18931643706012907
LOGTYPES,0.31008448055489474,0.31213662575957374
LOGWORDS,0.3307118817738754,0.3329005395264277
