,%MISSPELLED,AVG_WLEN,LOGTYPES,LOGWORDS,sc1
%MISSPELLED,1.0,-0.1821681607836665,-0.37987417209580787,-0.42230869523093856,-0.4542110134818539
AVG_WLEN,-0.1821681607836665,1.0,0.16546321286315652,0.08382354454894195,0.2962318790745278
LOGTYPES,-0.37987417209580787,0.16546321286315652,1.0,0.951704961093597,0.7176224730928763
LOGWORDS,-0.42230869523093856,0.08382354454894195,0.951704961093597,1.0,0.7099608872775384
sc1,-0.4542110134818539,0.2962318790745278,0.7176224730928763,0.7099608872775384,1.0
