,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,-0.02813736366628894,-0.1508357390923195,-0.051660170347933354,-76.43097643097643,-2.8619528619528722,-0.021230470235765575
raw_trim,-0.02813736366628894,-0.1508357390923195,-0.051660170347933354,-76.43097643097643,-2.8619528619528722,-0.021230470235765575
raw_trim_round,-0.11173243645041042,-0.1508357390923195,-0.11909451550107031,-8.080808080808083,-0.5050505050505052,-0.03695094910501087
scale,-0.02813736366628916,-0.16398483148054732,-0.028605623971015515,-76.43097643097643,-4.71380471380472,-0.02064254251778798
scale_trim,-0.027998362617770445,-0.16135951893147849,-0.028386185308368006,-76.43097643097643,-4.71380471380472,-0.01943594025828132
scale_trim_round,-0.06698029133770711,-0.16135951893147849,-0.06931585205400626,-10.437710437710436,-0.16835016835017313,-0.019567223413047688
