,PC1,PC2,PC3,PC4
Eigenvalues,2.260079617379508,0.9890974827033728,0.7070245518620937,0.04379834805502885
Percentage of variance,0.5650199043448765,0.24727437067584299,0.17675613796552325,0.010949587013757202
Cumulative percentage of variance,0.5650199043448765,0.8122942750207195,0.9890504129862427,1.0
