,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,0.06924864568050537,0.037452662210055165,0.04255674908090756,-66.0,-4.666666666666657,0.012426517359824401
raw_trim,0.06924864568050537,0.037452662210055165,0.04255674908090756,-66.0,-4.666666666666657,0.012426517359824401
raw_trim_round,0.025910773340295123,0.037452662210055165,0.01720672125975853,3.0,0.6666666666666714,0.005455605464486313
scale,0.06924864568050515,0.029943802804872077,0.07203405394102524,-66.0,-4.0,0.0025401299588807547
scale_trim,0.06924864568050515,0.029943802804872077,0.07203405394102524,-66.0,-4.0,0.0025401299588807547
scale_trim_round,0.02975914335780805,0.029943802804872077,0.03203034102063873,1.3333333333333286,0.6666666666666714,-0.019388244034486246
