,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
%REPEATED,0.03895979850808306,-0.13538445377361497,-0.07748227785116935,-0.08178434813949668,-0.29497849418329014,0.5782831824810615,-0.13375557124550966,-0.09640818816295749,-0.20179995096022818,-0.37358450560397305,-0.0006150013542023415,-0.39962798518072873,-0.04453397134463764,-0.2140410596604043,0.1356694809381522,0.02019708231044311,0.18799059470486779,0.045018462243575925,0.019615517702619552,-0.03246349919182749,-0.03489560984038989,-0.07454266984690033,0.045096405476813387,0.2524960238723283,-0.02969269599490625
%VB,0.1292630790233618,-0.12784599663349275,0.16495028178201154,0.3344180092746504,-0.13637232303600846,0.28563981474316585,0.36048458513854015,-0.272843905006559,0.13406653557350806,0.3117833648831404,-0.13636728192272762,-0.032665852483769416,0.008843971539508954,0.1660090122728899,0.17137884307830636,-0.462217199195498,0.026048351199858714,-0.0013989725744931035,0.009054432226256222,-0.04022493667046497,0.33668841643152697,-0.016416224719119105,0.017340152062069018,-0.03882861308410036,0.0024764633560131507
AVG_WFREQ,0.23423738555527424,-0.21603883639348362,-0.40411438971993585,0.003949023007780852,0.0547534688882236,-0.05056670158810453,-0.06146834434195201,-0.13919861205642306,0.023442245549733984,-0.004275263590973489,0.048127122811759064,0.006550831762118087,0.017539553210659184,0.08025960784309093,0.0616025122866303,-0.001792751878876105,0.13595027415025826,0.0327931003710274,0.25148806320611866,-0.020983800379539966,0.001958230509384559,0.17304173385770852,-0.7586701974933796,-0.05887663106222133,0.026712955240857646
AVG_WLEN,-0.24456535281546066,0.2590029097612972,-0.2660013367421873,0.21106987631285046,-0.06741472677741706,0.04211979179460189,0.06509530923492991,0.05384285855479728,-0.13109380536856924,0.0431166723132533,-0.053979071655097834,0.11256189785697632,0.04811053608662675,-0.16469523380150258,0.02023148436389186,-0.1489715124456562,0.17154485854443283,0.14085936479331215,-0.04458296129969235,0.7765448317066245,-0.025471597502759378,-0.004285431673365309,-0.05143384292454001,0.004045704555681888,-0.008111062293539752
IS_NATIVE,-0.2903048668546419,-0.11367761100209337,-0.00861521389331288,-0.061139353866766444,0.04873171533922633,-0.0337031610942445,-0.10025754698376796,0.03935187270934723,0.027083104584883035,0.1940295603168861,-0.08910371242163383,0.07075792077194537,-0.07495206582993152,-0.012228257468988372,0.8658735793964182,0.2406240255512494,-0.06860213061422707,0.060629608495323034,-0.011854963493108928,-0.02345153564493464,-0.004039063592254034,-0.09689190532900686,-0.018614830125036144,-0.01792974220092737,-0.0009565873445354036
LM,0.004369846169426082,-0.3063873429190637,-0.314145954603293,0.038716976511238434,-0.03795534944864743,0.02674152636214866,0.120877776965099,0.15665239266223768,0.025503436541825075,0.01106040686880328,0.009576409585030195,-0.011579715050969322,-0.08127258600944257,-0.3662986919349487,-0.09834710359366405,-0.05234677587879561,-0.7313723959041958,0.2128065229844888,-0.008639122374112972,0.015613295590705043,0.16291471500089663,-0.0016192262315216726,0.03719243457511002,0.04452073355472187,-0.0017956377091839267
LOGTYPES,-0.37867443248091126,-0.18851149764187158,0.1119014475799074,-0.026846399578004315,-0.07686736157177855,-0.0512772019637366,-0.0042446458234479175,0.009883547942888385,0.03372562370865766,0.032077094756240494,-0.05448711908730146,0.03865999834087783,0.04341718658762845,0.11700350497208795,-0.21837752685388614,-0.02368456340367976,0.014671436045593768,0.03131434402981736,0.04519781755363526,-0.029979521379782777,0.03635272057976075,-0.5229485339480776,-0.2671351677880553,0.17896545137493944,-0.5885528302391152
LOGWORDS,-0.34523082344033934,-0.2580412082136185,0.09989128517808872,-0.08732670057120659,-0.11603090402629612,0.10736543158280966,-0.06034893300273836,-0.0024688568447364906,-0.010507576588701087,-0.05886293376867469,-0.04205341513516724,-0.0577875682191949,0.03402621615578453,0.012552322293028996,-0.16258179572087722,-0.04647258047131469,0.011981639728295645,-0.036540743203605175,0.06955252591512134,0.03507941187069223,-0.03603905689595111,-0.2958879308120532,-0.09155362598907509,-0.5944525046490363,0.5208121846759567
SD_WFREQ,-0.029490973374600517,0.29049738698657906,0.4179568355033903,-0.00564431443131665,-0.03466959840170667,0.1277574003151793,0.09859478304741412,0.16677852765032444,-0.11009385407524956,-0.0217752949806383,0.047269050227791,-0.06104786498476131,-0.04583224267883851,-0.24302358270601754,0.05359914069604191,-0.034034656354856044,-0.20898719303268345,-0.2102905208311506,-0.4415838043995798,-0.02960593720049086,0.007358733023032241,0.10499196813290297,-0.552420955105291,-0.03135497518190347,0.014611563675745514
SD_WLEN,-0.251943519538728,0.17600656395315742,-0.20499055012816336,0.13794094230384243,0.03705203365877223,0.050111163827150175,0.21377718275435556,0.16342180268972792,-0.04017402263746003,0.17165368016833968,-0.022092856295896045,0.14339095097933777,0.17409135727204966,-0.5376166019937629,-0.056811756148910084,-0.006073204704069185,0.33293102630041094,-0.0417411081077806,0.19108559933703215,-0.489340942876957,0.05331480297168959,0.027189828409934436,0.017912503814715108,-0.03144605228085987,0.005383659688225022
TYPES,-0.38753052681424094,-0.1710011427586009,0.10449965091423563,-0.03505666192939028,-0.05756474240145022,-0.06786638547566981,-0.005029833183942532,0.019128519374554866,0.03523183387321938,0.07822148416711729,-0.07713431783782831,0.06122321357194673,0.03607764848544912,0.14728425546747934,-0.1354660472956823,-0.018528940062933315,0.019903622917607094,0.010544491347389726,0.011830470516400833,-0.012637699776517986,0.06744777060717765,0.24396897950870663,-0.09839503156897635,0.663400125785297,0.4761448670535186
WORDS,-0.3509210382842355,-0.24951546516680742,0.09377518328216006,-0.105357830151924,-0.096016659702804,0.0886010923343898,-0.06889391614045774,-0.005677793352659731,-0.006065787514612671,-0.0027756068493733064,-0.06846336144447027,-0.038737747159978804,0.023638475366078594,0.0336950535251843,-0.062411392550182444,-0.041739453146508884,0.00917253790635622,-0.0639454153317497,0.03740952934744447,0.0438613748772666,-0.011357755832706902,0.7150542300846872,0.08162041690183701,-0.2833705690132421,-0.3916654577919162
