,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,0.15655313231920143,0.26935987476203394,0.15149574811736155,-66.0,0.0,0.06374479721091356
raw_trim,0.15655313231920143,0.26935987476203394,0.15149574811736155,-66.0,0.0,0.06374479721091356
raw_trim_round,0.139782623468948,0.26935987476203394,0.11925767736252235,18.0,1.0,0.01965209089247144
scale,0.15655313231920143,0.27294981066460333,0.1594160466602227,-66.0,0.0,0.06483308869896391
scale_trim,0.15655313231920143,0.27294981066460333,0.1594160466602227,-66.0,0.0,0.06483308869896391
scale_trim_round,0.13426301167999222,0.27294981066460333,0.12680140581469146,18.0,1.0,-0.015839122677490436
