feature,standardized,relative
%FUNC,-0.06422801517564729,-0.061362435693217615
%MISSPELLED,0.041884933813695034,0.040016207111940164
AVG_WLEN,0.17771474979653545,0.16978587733567255
LOGTYPES,0.34059027575005824,0.3253945935631597
LOGWORDS,0.42228127151023104,0.40344088629601
