,PC1,PC2,PC3,PC4,PC5
%FUNC,-0.2992848367357152,0.6425197452143511,-0.043164510625666,-0.7022540851679273,0.0507246330412187
%MISSPELLED,-0.1606849483588028,-0.25004436113164696,-0.9477960372224273,-0.10544340704188059,-0.04714365889554641
AVG_WLEN,-0.362478983749903,0.5848255900165674,-0.1732403218648789,0.7033434915216108,0.043402066952562324
LOGTYPES,-0.6288921766280475,-0.24794769675910278,0.20968057186534853,-0.02272578462464723,-0.7060695194832496
LOGWORDS,-0.5980907543063003,-0.3480620108681531,0.16075243547232543,-0.022635357822269605,0.703410677534619
