,PC1,PC2,PC3,PC4,PC5
Eigenvalues,2.10715627852541,1.6221977445505606,0.9360916114749416,0.2832512257351662,0.051303139713922384
Percentage of variance,0.42143125570508194,0.32443954891011206,0.18721832229498828,0.05665024514703323,0.010260627942784475
Cumulative percentage of variance,0.42143125570508194,0.7458708046151941,0.9330891269101823,0.9897393720572155,1.0
