,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,0.029568809500072346,-0.046359610513951766,-0.004584885108445569,-68.40277777777779,-5.902777777777786,0.018836470623558657
raw_trim,0.029568809500072346,-0.046359610513951766,-0.004584885108445569,-68.40277777777779,-5.902777777777786,0.018836470623558657
raw_trim_round,-0.03454113225782529,-0.046359610513951766,-0.051298112389770334,-2.083333333333343,0.6944444444444429,0.0011021445024641321
scale,0.029568809500072346,-0.12871534622103564,0.027664474961388352,-68.40277777777779,-5.208333333333343,0.029729735018874243
scale_trim,0.029568809500072346,-0.12871534622103564,0.027664474961388352,-68.40277777777779,-5.208333333333343,0.029729735018874243
scale_trim_round,-0.0797022818223021,-0.12871534622103564,-0.0784064967490472,-9.375000000000007,-0.34722222222222854,0.07255485428769903
