feature,standardized,relative
LOGWORDS,0.4222812715102302,0.40344088629600916
LOGTYPES,0.34059027575005885,0.3253945935631603
%FUNC,0.0642280151756476,0.06136243569321791
AVG_WLEN,0.1777147497965354,0.1697858773356725
%MISSPELLED,-0.04188493381369499,-0.04001620711194012
