,corr_HM,corr_HH,sqrt_HH,corr_disattenuated
raw,0.8367098769971886,0.7732379909091157,0.8793395197016427,0.9515208383686449
raw_trim,0.8367098769971886,0.7732379909091157,0.8793395197016427,0.9515208383686449
raw_trim_round,0.7822096557502553,0.7732379909091157,0.8793395197016427,0.8895422510018163
scale,0.8367098769971886,0.7732379909091157,0.8793395197016427,0.9515208383686449
scale_trim,0.8367191201913017,0.7732379909091157,0.8793395197016427,0.9515313498876953
scale_trim_round,0.8041036408936459,0.7732379909091157,0.8793395197016427,0.9144404668250051
