,%FUNC,%MISSPELLED,AVG_WLEN,LOGTYPES,LOGWORDS,sc1
%FUNC,1.0,-0.08518711562802037,-0.7053617539019803,-0.11996362865419812,-0.0025861996551292173,-0.10802954489093322
%MISSPELLED,-0.08518711562802037,1.0,-0.023705967465296678,-0.15220180853998563,-0.21256680432794442,-0.19505813875653868
AVG_WLEN,-0.7053617539019803,-0.023705967465296678,1.0,0.1977983968752293,0.09117121833778294,0.24421094819646338
LOGTYPES,-0.11996362865419812,-0.15220180853998563,0.1977983968752293,1.0,0.9431599639538232,0.7709260780109605
LOGWORDS,-0.0025861996551292173,-0.21256680432794442,0.09117121833778294,0.9431599639538232,1.0,0.7658851689031884
sc1,-0.10802954489093322,-0.19505813875653868,0.24421094819646338,0.7709260780109605,0.7658851689031884,1.0
