,%FUNC,%MISSPELLED,AVG_WLEN,LOGTYPES,LOGWORDS,sc1
%FUNC,1.0,-0.10013730677091999,-0.7053617539019796,-0.132380813291294,-0.014234586340591686,-0.10802954489093289
%MISSPELLED,-0.10013730677091999,1.0,-0.018104610749315245,-0.12986126693125796,-0.2000392922996478,-0.18023634205977515
AVG_WLEN,-0.7053617539019796,-0.018104610749315245,1.0,0.20501577348721703,0.09760199508347543,0.24421094819646336
LOGTYPES,-0.132380813291294,-0.12986126693125796,0.20501577348721703,1.0,0.9387901209585875,0.7703947622846575
LOGWORDS,-0.014234586340591686,-0.2000392922996478,0.09760199508347543,0.9387901209585875,1.0,0.7668337451054565
sc1,-0.10802954489093289,-0.18023634205977515,0.24421094819646336,0.7703947622846575,0.7668337451054565,1.0
