,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,0.06347188608807286,-0.0013440288041589588,0.03481681754459287,-66.0,-5.333333333333329,0.011303509702618574
raw_trim,0.06347188608807286,-0.0013440288041589588,0.03481681754459287,-66.0,-5.333333333333329,0.011303509702618574
raw_trim_round,0.008971664841139537,-0.0013440288041589588,-0.0023068555977995286,0.6666666666666572,0.6666666666666714,0.009004726821483067
scale,0.06347188608807286,0.013721584766287598,0.06608887779977535,-66.0,-5.333333333333329,0.0007759770166929081
scale_trim,0.06348112928218597,0.018641429354063765,0.0660702081248874,-66.0,-5.333333333333329,0.00094271391156589
scale_trim_round,0.03086564998453023,0.018641429354063765,0.034089781847732925,0.3333333333333286,0.6666666666666714,-0.015839122677490436
