,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,0.06662203653484944,0.026939257946897333,0.03667585462676526,-66.0,-5.333333333333329,0.014240029209675327
raw_trim,0.06662203653484944,0.026939257946897333,0.03667585462676526,-66.0,-5.333333333333329,0.014240029209675327
raw_trim_round,0.020799091299436134,0.026939257946897333,0.00978291250578911,2.3333333333333286,0.6666666666666714,0.005455605464486313
scale,0.06662203653484944,0.018970484276561006,0.06916763526599212,-66.0,-4.666666666666657,0.004400651539847748
scale_trim,0.06662203653484944,0.018970484276561006,0.06916763526599212,-66.0,-4.666666666666657,0.004400651539847748
scale_trim_round,0.026671000115783494,0.018970484276561006,0.030288702706612658,0.3333333333333286,0.6666666666666714,-0.0016426372495053077
