,corr,kappa,wtkappa,exact_agr,adj_agr,SMD
raw,-0.036861310605812214,-0.5864557718541602,-0.2941373244406307,-76.43097643097643,-33.16498316498317,1.021323355411691
raw_trim,-0.036861310605812214,-0.5864557718541602,-0.2941373244406307,-76.43097643097643,-33.16498316498317,1.021323355411691
raw_trim_round,-0.08200081228367595,-0.5864557718541602,-0.30595238459367063,-45.45454545454545,-7.407407407407405,0.9886888667208216
scale,-0.03686131060581199,-0.5583100820729123,-0.2615011670476438,-76.43097643097643,-37.37373737373737,1.0073474105957059
scale_trim,-0.036856351368116824,-0.5583388065139058,-0.26150059786161095,-76.43097643097643,-37.37373737373737,1.0073533170300888
scale_trim_round,-0.07148927334701738,-0.5583388065139058,-0.2800227209333853,-45.45454545454545,-10.606060606060609,0.990861832432317
