,PC1,PC2,PC3,PC4
Eigenvalues,2.037129846110889,0.990697396560158,0.9198170713976745,0.05235568593127501
Percentage of variance,0.5092824615277227,0.24767434914003972,0.22995426784941883,0.013088921482818764
Cumulative percentage of variance,0.5092824615277227,0.7569568106677624,0.9869110785171813,1.0
